+------+-------+----------------+----------+----------+-------------------------+----------+----------+----------+-----+
| Site |  Dept |     filer      |    T1    |    T3    |           aggr          |  total   |   used   |  avail   | Pct |
| pg   | itenc | pg-itencnas01  |   23GB   |    0     |   n05_ice_sas_1200_01   | 17068GB  |   23GB   | 17044GB  |  0% |
| pg   | itenc | pg-itencnas01  |   0GB    |    0     |    n05_loaner_sas_01    | 301200GB |   0GB    | 301200GB |  0% |
| pg   | itenc | pg-itencnas01  |   2GB    |    0     |   n06_ice_sas_1200_01   | 17068GB  |   2GB    | 17065GB  |  0% |
| pg   | itenc | pg-itencnas01  |    0     | 11207GB  |    n06_loaner_sata_01   | 287815GB | 11207GB  | 276607GB |  4% |
| pg   | itcrn | pg-itcrncnas01 |  251GB   |    0     | aggr0_pg_itcrncnas01_01 |  367GB   |  251GB   |  115GB   | 68% |
| pg   | itcrn | pg-itcrncnas01 |  251GB   |    0     | aggr0_pg_itcrncnas01_02 |  367GB   |  251GB   |  115GB   | 68% |
| pg   | itcrn | pg-itcrncnas01 | 41308GB  |    0     |      n01_sas_450_01     | 54002GB  | 41308GB  | 12694GB  | 76% |
| pg   | itcrn | pg-itcrncnas01 |    0     | 28241GB  |     n01_sata_1000_01    | 43204GB  | 28241GB  | 14963GB  | 65% |
| pg   | itcrn | pg-itcrncnas01 | 31428GB  |    0     |      n02_sas_450_01     | 45920GB  | 31428GB  | 14491GB  | 68% |
| pg   | itcrn | pg-itcrncnas01 |    0     | 44804GB  |     n02_sata_1000_01    | 59592GB  | 44804GB  | 14787GB  | 75% |
| pg   | itdrn | pg-itdrncnas01 |  301GB   |    0     | aggr0_pg_itdrncnas01_01 |  744GB   |  301GB   |  443GB   | 41% |
| pg   | itdrn | pg-itdrncnas01 |    0     | 76320GB  |     n01_sata_1000_01    | 137062GB | 76320GB  | 60742GB  | 56% |
| pg   | itdrn | pg-itdrncnas01 |    0     | 150473GB |     n01_sata_2000_01    | 348692GB | 150473GB | 198219GB | 43% |
| sj   | itnas |  sj-itnas01a   | 121407GB |    0     |       sas64_450_01      | 140295GB | 121407GB | 18888GB  | 87% |
| sj   | itnas |  sj-itnas01a   |    0     | 48077GB  |      sata64_1000_01     | 67041GB  | 48077GB  | 18964GB  | 72% |
