#Date,Time,Vendor,Site,Dept,filer,T1,T3,T3B,T4,aggr,total,used,avail 

2015-07-06,11:33,netapp,pg,itencnas01,pg-itencnas01,23GB,0,0,0,n05_ice_sas_1200_01,17068GB,23GB,17044GB
2015-07-06,11:33,netapp,pg,itencnas01,pg-itencnas01,0GB,0,0,0,n05_loaner_sas_01,301200GB,0GB,301200GB
2015-07-06,11:33,netapp,pg,itencnas01,pg-itencnas01,2GB,0,0,0,n06_ice_sas_1200_01,17068GB,2GB,17065GB
2015-07-06,11:33,netapp,pg,itencnas01,pg-itencnas01,0,11207GB,0,0,n06_loaner_sata_01,287815GB,11207GB,276607GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,251GB,0,0,0,aggr0_pg_itcrncnas01_01,367GB,251GB,115GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,251GB,0,0,0,aggr0_pg_itcrncnas01_02,367GB,251GB,115GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,41308GB,0,0,0,n01_sas_450_01,54002GB,41308GB,12693GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,0,28241GB,0,0,n01_sata_1000_01,43204GB,28241GB,14963GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,31429GB,0,0,0,n02_sas_450_01,45920GB,31429GB,14491GB
2015-07-06,11:33,netapp,pg,itcrncnas01,pg-itcrncnas01,0,44805GB,0,0,n02_sata_1000_01,59592GB,44805GB,14786GB
2015-07-06,11:33,netapp,pg,itdrncnas01,pg-itdrncnas01,0,0,301GB,0,aggr0_pg_itdrncnas01_01,744GB,301GB,443GB
2015-07-06,11:33,netapp,pg,itdrncnas01,pg-itdrncnas01,0,76320GB,0,0,n01_sata_1000_01,137062GB,76320GB,60742GB
2015-07-06,11:33,netapp,pg,itdrncnas01,pg-itdrncnas01,0,151666GB,0,0,n01_sata_2000_01,348692GB,151666GB,197025GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,121408GB,0,0,0,sas64_450_01,140295GB,121408GB,18886GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,0,48077GB,0,0,sata64_1000_01,67041GB,48077GB,18964GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,37434GB,0,0,0,sas64_450_600_01,46186GB,37434GB,8752GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,0,10917GB,0,0,sata01,14153GB,10917GB,3235GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,2016GB,0,0,0,sas64_600_NAS_TEST,2938GB,2016GB,922GB
2015-07-06,11:33,netapp,sj,itnas01a,sj-itnas01a,433GB,0,0,0,sas32_450_root,734GB,433GB,301GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,8963GB,0,0,sata06,13408GB,8963GB,4444GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,11351GB,0,0,sata12,14153GB,11351GB,2801GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,9319GB,0,0,sata09,11918GB,9319GB,2598GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,9277GB,0,0,sata07,10428GB,9277GB,1150GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,2825GB,0,0,sata08,7449GB,2825GB,4623GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,17994GB,0,0,sata64_1000_01,26816GB,17994GB,8822GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,92456GB,0,0,0,sas64_450_600_01,105221GB,92456GB,12765GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,333GB,0,0,0,sas32_450_root,367GB,333GB,34GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,19824GB,0,0,sata64_1000_03,26816GB,19824GB,6991GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,9077GB,0,0,sata01,10428GB,9077GB,1350GB
2015-07-06,11:33,netapp,sj,itnas01b,sj-itnas01b,0,6464GB,0,0,sata02,10428GB,6464GB,3964GB
2015-07-06,11:33,netapp,sj,swnas01a,sj-swnas01a,0,22647GB,0,0,sata01_64,26071GB,22647GB,3424GB
2015-07-06,11:33,netapp,sj,swnas01a,sj-swnas01a,35834GB,0,0,0,sas01_64,41194GB,35834GB,5359GB
2015-07-06,11:33,netapp,sj,swnas01b,sj-swnas01b,5958GB,0,0,0,sas01_64,8859GB,5958GB,2900GB
2015-07-06,11:33,netapp,nl,swnas01a,nl-swnas01a,0,7615GB,0,0,sata01,13408GB,7615GB,5793GB
2015-07-06,11:33,netapp,nl,swnas01a,nl-swnas01a,8277GB,0,0,0,sas01,9843GB,8277GB,1565GB
2015-07-06,11:33,netapp,nl,swnas01b,nl-swnas01b,7289GB,0,0,0,sas01,9843GB,7289GB,2553GB
2015-07-06,11:33,netapp,uk,itnas01,uk-itnas01,0,16998GB,0,0,sata01_64,26816GB,16998GB,9817GB
2015-07-06,11:33,netapp,uk,itnas01,uk-itnas01,25421GB,0,0,0,sas01_64,29530GB,25421GB,4108GB
2015-07-06,11:33,netapp,uk,itnas02,uk-itnas02,23385GB,0,0,0,sas01_64,29530GB,23385GB,6144GB
2015-07-06,11:33,netapp,uk,itnas02,uk-itnas02,0,26197GB,0,0,sata01_64,26816GB,26197GB,619GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,18046GB,0,0,0,fc_aggr0,22041GB,18046GB,3995GB
2015-07-06,11:33,netapp,pg,itnas03a,pg-itnas03a,46589GB,0,0,0,sas01_64,56574GB,46589GB,9984GB
